id,type,group,name
135,5,controller,ctr_yaw
136,7,controller,cmd_thrust
137,7,controller,cmd_roll
138,7,controller,cmd_pitch
139,7,controller,cmd_yaw
140,7,controller,r_roll
141,7,controller,r_pitch
142,7,controller,r_yaw
143,7,controller,accelz
144,7,controller,actuatorThrust
145,7,controller,roll
146,7,controller,pitch
147,7,controller,yaw
148,7,controller,rollRate
149,7,controller,pitchRate
150,7,controller,yawRate
151,7,stateEstimate,x
152,7,stateEstimate,y
153,7,stateEstimate,z
154,7,stateEstimate,vx
155,7,stateEstimate,vy
156,7,stateEstimate,vz
157,7,stateEstimate,ax
158,7,stateEstimate,ay
159,7,stateEstimate,az
160,7,stateEstimate,roll
161,7,stateEstimate,pitch
162,7,stateEstimate,yaw
163,7,stateEstimate,qx
164,7,stateEstimate,qy
165,7,stateEstimate,qz
166,7,stateEstimate,qw
167,5,stateEstimateZ,x
168,5,stateEstimateZ,y
169,5,stateEstimateZ,z
170,5,stateEstimateZ,vx
171,5,stateEstimateZ,vy
172,5,stateEstimateZ,vz
173,5,stateEstimateZ,ax
174,5,stateEstimateZ,ay
175,5,stateEstimateZ,az
176,3,stateEstimateZ,quat
177,5,stateEstimateZ,rateRoll
178,5,stateEstimateZ,ratePitch
179,5,stateEstimateZ,rateYaw
180,1,sys,canfly
181,1,sys,isFlying
182,1,sys,isTumbled
183,4,sys,testLogParam
184,2,supervisor,info
185,7,kalman_pred,predNX
186,7,kalman_pred,predNY
187,7,kalman_pred,measNX
188,7,kalman_pred,measNY
189,7,pid_attitude,roll_outP
190,7,pid_attitude,roll_outI
191,7,pid_attitude,roll_outD
192,7,pid_attitude,roll_outFF
193,7,pid_attitude,pitch_outP
194,7,pid_attitude,pitch_outI
195,7,pid_attitude,pitch_outD
196,7,pid_attitude,pitch_outFF
197,7,pid_attitude,yaw_outP
198,7,pid_attitude,yaw_outI
199,7,pid_attitude,yaw_outD
200,7,pid_attitude,yaw_outFF
201,7,pid_rate,roll_outP
202,7,pid_rate,roll_outI
203,7,pid_rate,roll_outD
204,7,pid_rate,roll_outFF
205,7,pid_rate,pitch_outP
206,7,pid_rate,pitch_outI
207,7,pid_rate,pitch_outD
208,7,pid_rate,pitch_outFF
209,7,pid_rate,yaw_outP
210,7,pid_rate,yaw_outI
211,7,pid_rate,yaw_outD
212,7,pid_rate,yaw_outFF
213,7,ctrlINDI,cmd_thrust
214,7,ctrlINDI,cmd_roll
215,7,ctrlINDI,cmd_pitch
216,7,ctrlINDI,cmd_yaw
217,7,ctrlINDI,r_roll
218,7,ctrlINDI,r_pitch
219,7,ctrlINDI,r_yaw
220,7,ctrlINDI,u_act_dyn_p
221,7,ctrlINDI,u_act_dyn_q
222,7,ctrlINDI,u_act_dyn_r
223,7,ctrlINDI,du_p
224,7,ctrlINDI,du_q
225,7,ctrlINDI,du_r
226,7,ctrlINDI,ang_accel_ref_p
227,7,ctrlINDI,ang_accel_ref_q
228,7,ctrlINDI,ang_accel_ref_r
229,7,ctrlINDI,rate_d[0]
230,7,ctrlINDI,rate_d[1]
231,7,ctrlINDI,rate_d[2]
232,7,ctrlINDI,uf_p
233,7,ctrlINDI,uf_q
234,7,ctrlINDI,uf_r
235,7,ctrlINDI,Omega_f_p
236,7,ctrlINDI,Omega_f_q
237,7,ctrlINDI,Omega_f_r
238,7,ctrlINDI,n_p
239,7,ctrlINDI,n_q
240,7,ctrlINDI,n_r
241,7,ctrlMel,cmd_thrust
242,7,ctrlMel,cmd_roll
243,7,ctrlMel,cmd_pitch
244,7,ctrlMel,cmd_yaw
245,7,ctrlMel,r_roll
246,7,ctrlMel,r_pitch
247,7,ctrlMel,r_yaw
248,7,ctrlMel,accelz
249,7,ctrlMel,zdx
250,7,ctrlMel,zdy
251,7,ctrlMel,zdz
252,7,ctrlMel,i_err_x
253,7,ctrlMel,i_err_y
254,7,ctrlMel,i_err_z
255,7,posCtrlIndi,posRef_x
256,7,posCtrlIndi,posRef_y
257,7,posCtrlIndi,posRef_z
258,7,posCtrlIndi,velS_x
259,7,posCtrlIndi,velS_y
260,7,posCtrlIndi,velS_z
261,7,posCtrlIndi,velRef_x
262,7,posCtrlIndi,velRef_y
263,7,posCtrlIndi,velRef_z
264,7,posCtrlIndi,angS_roll
265,7,posCtrlIndi,angS_pitch
266,7,posCtrlIndi,angS_yaw
267,7,posCtrlIndi,angF_roll
268,7,posCtrlIndi,angF_pitch
269,7,posCtrlIndi,angF_yaw
270,7,posCtrlIndi,accRef_x
271,7,posCtrlIndi,accRef_y
272,7,posCtrlIndi,accRef_z
273,7,posCtrlIndi,accS_x
274,7,posCtrlIndi,accS_y
275,7,posCtrlIndi,accS_z
276,7,posCtrlIndi,accF_x
277,7,posCtrlIndi,accF_y
278,7,posCtrlIndi,accF_z
279,7,posCtrlIndi,accFT_x
280,7,posCtrlIndi,accFT_y
281,7,posCtrlIndi,accFT_z
282,7,posCtrlIndi,accErr_x
283,7,posCtrlIndi,accErr_y
284,7,posCtrlIndi,accErr_z
285,7,posCtrlIndi,phi_tilde
286,7,posCtrlIndi,theta_tilde
287,7,posCtrlIndi,T_tilde
288,7,posCtrlIndi,T_inner
289,7,posCtrlIndi,T_inner_f
290,7,posCtrlIndi,T_incremented
291,7,posCtrlIndi,cmd_phi
292,7,posCtrlIndi,cmd_theta
293,7,posCtl,targetVX
294,7,posCtl,targetVY
295,7,posCtl,targetVZ
296,7,posCtl,targetX
297,7,posCtl,targetY
298,7,posCtl,targetZ
299,7,posCtl,bodyVX
300,7,posCtl,bodyVY
301,7,posCtl,bodyX
302,7,posCtl,bodyY
303,7,posCtl,Xp
304,7,posCtl,Xi
305,7,posCtl,Xd
306,7,posCtl,Xff
307,7,posCtl,Yp
308,7,posCtl,Yi
309,7,posCtl,Yd
310,7,posCtl,Yff
311,7,posCtl,Zp
312,7,posCtl,Zi
313,7,posCtl,Zd
314,7,posCtl,Zff
315,7,posCtl,VXp
316,7,posCtl,VXi
317,7,posCtl,VXd
318,7,posCtl,VXff
319,7,posCtl,VYp
320,7,posCtl,VYi
321,7,posCtl,VYd
322,7,posCtl,VYff
323,7,posCtl,VZp
324,7,posCtl,VZi
325,7,posCtl,VZd
326,7,posCtl,VZff
327,7,kalman,stateX
328,7,kalman,stateY
329,7,kalman,stateZ
330,7,kalman,statePX
331,7,kalman,statePY
332,7,kalman,statePZ
333,7,kalman,stateD0
334,7,kalman,stateD1
335,7,kalman,stateD2
336,7,kalman,varX
337,7,kalman,varY
338,7,kalman,varZ
339,7,kalman,varPX
340,7,kalman,varPY
341,7,kalman,varPZ
342,7,kalman,varD0
343,7,kalman,varD1
344,7,kalman,varD2
345,7,kalman,q0
346,7,kalman,q1
347,7,kalman,q2
348,7,kalman,q3
349,7,kalman,rtUpdate
350,7,kalman,rtPred
351,7,kalman,rtFinal
352,6,outlierf,lhWin
353,7,estimator,rtApnd
354,7,estimator,rtRej
355,7,posEstAlt,estimatedZ
356,7,posEstAlt,estVZ
357,7,posEstAlt,velocityZ
358,1,DTR_P2P,rx_state
359,1,DTR_P2P,tx_state
