id,type,readonly,group,name
133,6,0,pid_rate,omyFiltCut
134,6,0,pid_rate,omzFiltCut
135,6,0,pid_attitude,roll_kp
136,6,0,pid_attitude,roll_ki
137,6,0,pid_attitude,roll_kd
138,6,0,pid_attitude,roll_kff
139,6,0,pid_attitude,pitch_kp
140,6,0,pid_attitude,pitch_ki
141,6,0,pid_attitude,pitch_kd
142,6,0,pid_attitude,pitch_kff
143,6,0,pid_attitude,yaw_kp
144,6,0,pid_attitude,yaw_ki
145,6,0,pid_attitude,yaw_kd
146,6,0,pid_attitude,yaw_kff
147,6,0,pid_attitude,yawMaxDelta
148,0,0,pid_attitude,attFiltEn
149,6,0,pid_attitude,attFiltCut
150,6,0,ctrlINDI,thrust_threshold
151,6,0,ctrlINDI,bound_ctrl_input
152,6,0,ctrlINDI,g1_p
153,6,0,ctrlINDI,g1_q
154,6,0,ctrlINDI,g1_r
155,6,0,ctrlINDI,g2
156,6,0,ctrlINDI,ref_err_p
157,6,0,ctrlINDI,ref_err_q
158,6,0,ctrlINDI,ref_err_r
159,6,0,ctrlINDI,ref_rate_p
160,6,0,ctrlINDI,ref_rate_q
161,6,0,ctrlINDI,ref_rate_r
162,6,0,ctrlINDI,act_dyn_p
163,6,0,ctrlINDI,act_dyn_q
164,6,0,ctrlINDI,act_dyn_r
165,6,0,ctrlINDI,filt_cutoff
166,6,0,ctrlINDI,filt_cutoff_r
167,8,0,ctrlINDI,outerLoopActive
168,6,0,ctrlMel,kp_xy
169,6,0,ctrlMel,kd_xy
170,6,0,ctrlMel,ki_xy
171,6,0,ctrlMel,i_range_xy
172,6,0,ctrlMel,kp_z
173,6,0,ctrlMel,kd_z
174,6,0,ctrlMel,ki_z
175,6,0,ctrlMel,i_range_z
176,6,0,ctrlMel,mass
177,6,0,ctrlMel,massThrust
178,6,0,ctrlMel,kR_xy
179,6,0,ctrlMel,kR_z
180,6,0,ctrlMel,kw_xy
181,6,0,ctrlMel,kw_z
182,6,0,ctrlMel,ki_m_xy
183,6,0,ctrlMel,ki_m_z
184,6,0,ctrlMel,kd_omega_rp
185,6,0,ctrlMel,i_range_m_xy
186,6,0,ctrlMel,i_range_m_z
187,6,0,ctrlAtt,tau_xy
188,6,0,ctrlAtt,zeta_xy
189,6,0,ctrlAtt,tau_z
190,6,0,ctrlAtt,zeta_z
191,6,0,ctrlAtt,tau_rp
192,6,0,ctrlAtt,mixing_factor
193,6,0,ctrlAtt,coll_fairness
194,6,0,posCtrlIndi,K_xi_x
195,6,0,posCtrlIndi,K_xi_y
196,6,0,posCtrlIndi,K_xi_z
197,6,0,posCtrlIndi,K_dxi_x
198,6,0,posCtrlIndi,K_dxi_y
199,6,0,posCtrlIndi,K_dxi_z
200,6,0,posCtrlIndi,pq_clamping
201,6,0,posCtlPid,xKp
202,6,0,posCtlPid,xKi
203,6,0,posCtlPid,xKd
204,6,0,posCtlPid,xKff
205,6,0,posCtlPid,yKp
206,6,0,posCtlPid,yKi
207,6,0,posCtlPid,yKd
208,6,0,posCtlPid,yKff
209,6,0,posCtlPid,zKp
210,6,0,posCtlPid,zKi
211,6,0,posCtlPid,zKd
212,6,0,posCtlPid,zKff
213,9,0,posCtlPid,thrustBase
214,9,0,posCtlPid,thrustMin
215,6,0,posCtlPid,rLimit
216,6,0,posCtlPid,pLimit
217,6,0,posCtlPid,xVelMax
218,6,0,posCtlPid,yVelMax
219,6,0,posCtlPid,zVelMax
220,6,0,velCtlPid,vxKp
221,6,0,velCtlPid,vxKi
222,6,0,velCtlPid,vxKd
223,6,0,velCtlPid,vxKFF
224,6,0,velCtlPid,vyKp
225,6,0,velCtlPid,vyKi
226,6,0,velCtlPid,vyKd
227,6,0,velCtlPid,vyKFF
228,6,0,velCtlPid,vzKp
229,6,0,velCtlPid,vzKi
230,6,0,velCtlPid,vzKd
231,6,0,velCtlPid,vzKFF
232,6,0,posEstAlt,estAlphaAsl
233,6,0,posEstAlt,estAlphaZr
234,6,0,posEstAlt,velFactor
235,6,0,posEstAlt,velZAlpha
236,6,0,posEstAlt,vAccDeadband
237,10,1,firmware,revision0
238,9,1,firmware,revision1
239,8,1,firmware,modified
