id,type,group,name
129,7,stateEstimate,ay
130,7,stateEstimate,az
131,7,stateEstimate,roll
132,7,stateEstimate,pitch
133,7,stateEstimate,yaw
134,7,stateEstimate,qx
135,7,stateEstimate,qy
136,7,stateEstimate,qz
137,7,stateEstimate,qw
138,5,controller,ctr_yaw
139,7,controller,cmd_thrust
140,7,controller,cmd_roll
141,7,controller,cmd_pitch
142,7,controller,cmd_yaw
143,7,controller,r_roll
144,7,controller,r_pitch
145,7,controller,r_yaw
146,7,controller,accelz
147,7,controller,actuatorThrust
148,7,controller,roll
149,7,controller,pitch
150,7,controller,yaw
151,7,controller,rollRate
152,7,controller,pitchRate
153,7,controller,yawRate
154,7,mag,x
155,7,mag,y
156,7,mag,z
157,7,baro,asl
158,7,baro,temp
159,7,baro,pressure
160,7,acc,x
161,7,acc,y
162,7,acc,z
163,7,stabilizer,roll
164,7,stabilizer,pitch
165,7,stabilizer,yaw
166,7,stabilizer,thrust
167,7,stabilizer,rtStab
168,3,stabilizer,intToOut
169,5,ctrltargetZ,x
170,5,ctrltargetZ,y
171,5,ctrltargetZ,z
172,5,ctrltargetZ,vx
173,5,ctrltargetZ,vy
174,5,ctrltargetZ,vz
175,5,ctrltargetZ,ax
176,5,ctrltargetZ,ay
177,5,ctrltargetZ,az
178,7,ctrltarget,x
179,7,ctrltarget,y
180,7,ctrltarget,z
181,7,ctrltarget,vx
182,7,ctrltarget,vy
183,7,ctrltarget,vz
184,7,ctrltarget,ax
185,7,ctrltarget,ay
186,7,ctrltarget,az
187,7,ctrltarget,roll
188,7,ctrltarget,pitch
189,7,ctrltarget,yaw
190,2,supervisor,info
191,1,sys,canfly
192,1,sys,isFlying
193,1,sys,isTumbled
194,4,sys,testLogParam
195,7,kalman_pred,predNX
196,7,kalman_pred,predNY
197,7,kalman_pred,measNX
198,7,kalman_pred,measNY
199,7,pid_rate,roll_outP
200,7,pid_rate,roll_outI
201,7,pid_rate,roll_outD
202,7,pid_rate,roll_outFF
203,7,pid_rate,pitch_outP
204,7,pid_rate,pitch_outI
205,7,pid_rate,pitch_outD
206,7,pid_rate,pitch_outFF
207,7,pid_rate,yaw_outP
208,7,pid_rate,yaw_outI
209,7,pid_rate,yaw_outD
210,7,pid_rate,yaw_outFF
211,7,pid_attitude,roll_outP
212,7,pid_attitude,roll_outI
213,7,pid_attitude,roll_outD
214,7,pid_attitude,roll_outFF
215,7,pid_attitude,pitch_outP
216,7,pid_attitude,pitch_outI
217,7,pid_attitude,pitch_outD
218,7,pid_attitude,pitch_outFF
219,7,pid_attitude,yaw_outP
220,7,pid_attitude,yaw_outI
221,7,pid_attitude,yaw_outD
222,7,pid_attitude,yaw_outFF
223,7,ctrlINDI,cmd_thrust
224,7,ctrlINDI,cmd_roll
225,7,ctrlINDI,cmd_pitch
226,7,ctrlINDI,cmd_yaw
227,7,ctrlINDI,r_roll
228,7,ctrlINDI,r_pitch
229,7,ctrlINDI,r_yaw
230,7,ctrlINDI,u_act_dyn_p
231,7,ctrlINDI,u_act_dyn_q
232,7,ctrlINDI,u_act_dyn_r
233,7,ctrlINDI,du_p
234,7,ctrlINDI,du_q
235,7,ctrlINDI,du_r
236,7,ctrlINDI,ang_accel_ref_p
237,7,ctrlINDI,ang_accel_ref_q
238,7,ctrlINDI,ang_accel_ref_r
239,7,ctrlINDI,rate_d[0]
240,7,ctrlINDI,rate_d[1]
241,7,ctrlINDI,rate_d[2]
242,7,ctrlINDI,uf_p
243,7,ctrlINDI,uf_q
244,7,ctrlINDI,uf_r
245,7,ctrlINDI,Omega_f_p
246,7,ctrlINDI,Omega_f_q
247,7,ctrlINDI,Omega_f_r
248,7,ctrlINDI,n_p
249,7,ctrlINDI,n_q
250,7,ctrlINDI,n_r
251,7,ctrlMel,cmd_thrust
252,7,ctrlMel,cmd_roll
253,7,ctrlMel,cmd_pitch
254,7,ctrlMel,cmd_yaw
255,7,ctrlMel,r_roll
256,7,ctrlMel,r_pitch
257,7,ctrlMel,r_yaw
258,7,ctrlMel,accelz
259,7,ctrlMel,zdx
260,7,ctrlMel,zdy
261,7,ctrlMel,zdz
262,7,ctrlMel,i_err_x
263,7,ctrlMel,i_err_y
264,7,ctrlMel,i_err_z
265,7,posCtrlIndi,posRef_x
266,7,posCtrlIndi,posRef_y
267,7,posCtrlIndi,posRef_z
268,7,posCtrlIndi,velS_x
269,7,posCtrlIndi,velS_y
270,7,posCtrlIndi,velS_z
271,7,posCtrlIndi,velRef_x
272,7,posCtrlIndi,velRef_y
273,7,posCtrlIndi,velRef_z
274,7,posCtrlIndi,angS_roll
275,7,posCtrlIndi,angS_pitch
276,7,posCtrlIndi,angS_yaw
277,7,posCtrlIndi,angF_roll
278,7,posCtrlIndi,angF_pitch
279,7,posCtrlIndi,angF_yaw
280,7,posCtrlIndi,accRef_x
281,7,posCtrlIndi,accRef_y
282,7,posCtrlIndi,accRef_z
283,7,posCtrlIndi,accS_x
284,7,posCtrlIndi,accS_y
285,7,posCtrlIndi,accS_z
286,7,posCtrlIndi,accF_x
287,7,posCtrlIndi,accF_y
288,7,posCtrlIndi,accF_z
289,7,posCtrlIndi,accFT_x
290,7,posCtrlIndi,accFT_y
291,7,posCtrlIndi,accFT_z
292,7,posCtrlIndi,accErr_x
293,7,posCtrlIndi,accErr_y
294,7,posCtrlIndi,accErr_z
295,7,posCtrlIndi,phi_tilde
296,7,posCtrlIndi,theta_tilde
297,7,posCtrlIndi,T_tilde
298,7,posCtrlIndi,T_inner
299,7,posCtrlIndi,T_inner_f
300,7,posCtrlIndi,T_incremented
301,7,posCtrlIndi,cmd_phi
302,7,posCtrlIndi,cmd_theta
303,7,posCtl,targetVX
304,7,posCtl,targetVY
305,7,posCtl,targetVZ
306,7,posCtl,targetX
307,7,posCtl,targetY
308,7,posCtl,targetZ
309,7,posCtl,bodyVX
310,7,posCtl,bodyVY
311,7,posCtl,bodyX
312,7,posCtl,bodyY
313,7,posCtl,Xp
314,7,posCtl,Xi
315,7,posCtl,Xd
316,7,posCtl,Xff
317,7,posCtl,Yp
318,7,posCtl,Yi
319,7,posCtl,Yd
320,7,posCtl,Yff
321,7,posCtl,Zp
322,7,posCtl,Zi
323,7,posCtl,Zd
324,7,posCtl,Zff
325,7,posCtl,VXp
326,7,posCtl,VXi
327,7,posCtl,VXd
328,7,posCtl,VXff
329,7,posCtl,VYp
330,7,posCtl,VYi
331,7,posCtl,VYd
332,7,posCtl,VYff
333,7,posCtl,VZp
334,7,posCtl,VZi
335,7,posCtl,VZd
336,7,posCtl,VZff
337,6,outlierf,lhWin
338,7,kalman,stateX
339,7,kalman,stateY
340,7,kalman,stateZ
341,7,kalman,statePX
342,7,kalman,statePY
343,7,kalman,statePZ
344,7,kalman,stateD0
345,7,kalman,stateD1
346,7,kalman,stateD2
347,7,kalman,varX
348,7,kalman,varY
349,7,kalman,varZ
350,7,kalman,varPX
351,7,kalman,varPY
352,7,kalman,varPZ
353,7,kalman,varD0
354,7,kalman,varD1
355,7,kalman,varD2
356,7,kalman,q0
357,7,kalman,q1
358,7,kalman,q2
359,7,kalman,q3
360,7,kalman,rtUpdate
361,7,kalman,rtPred
362,7,kalman,rtFinal
363,7,estimator,rtApnd
364,7,estimator,rtRej
365,7,posEstAlt,estimatedZ
366,7,posEstAlt,estVZ
367,7,posEstAlt,velocityZ
368,1,DTR_P2P,rx_state
369,1,DTR_P2P,tx_state
