id,type,readonly,group,name
133,6,0,pid_attitude,roll_kp
134,6,0,pid_attitude,roll_ki
135,6,0,pid_attitude,roll_kd
136,6,0,pid_attitude,roll_kff
137,6,0,pid_attitude,pitch_kp
138,6,0,pid_attitude,pitch_ki
139,6,0,pid_attitude,pitch_kd
140,6,0,pid_attitude,pitch_kff
141,6,0,pid_attitude,yaw_kp
142,6,0,pid_attitude,yaw_ki
143,6,0,pid_attitude,yaw_kd
144,6,0,pid_attitude,yaw_kff
145,6,0,pid_attitude,yawMaxDelta
146,0,0,pid_attitude,attFiltEn
147,6,0,pid_attitude,attFiltCut
148,6,0,ctrlINDI,thrust_threshold
149,6,0,ctrlINDI,bound_ctrl_input
150,6,0,ctrlINDI,g1_p
151,6,0,ctrlINDI,g1_q
152,6,0,ctrlINDI,g1_r
153,6,0,ctrlINDI,g2
154,6,0,ctrlINDI,ref_err_p
155,6,0,ctrlINDI,ref_err_q
156,6,0,ctrlINDI,ref_err_r
157,6,0,ctrlINDI,ref_rate_p
158,6,0,ctrlINDI,ref_rate_q
159,6,0,ctrlINDI,ref_rate_r
160,6,0,ctrlINDI,act_dyn_p
161,6,0,ctrlINDI,act_dyn_q
162,6,0,ctrlINDI,act_dyn_r
163,6,0,ctrlINDI,filt_cutoff
164,6,0,ctrlINDI,filt_cutoff_r
165,8,0,ctrlINDI,outerLoopActive
166,6,0,ctrlMel,kp_xy
167,6,0,ctrlMel,kd_xy
168,6,0,ctrlMel,ki_xy
169,6,0,ctrlMel,i_range_xy
170,6,0,ctrlMel,kp_z
171,6,0,ctrlMel,kd_z
172,6,0,ctrlMel,ki_z
173,6,0,ctrlMel,i_range_z
174,6,0,ctrlMel,mass
175,6,0,ctrlMel,massThrust
176,6,0,ctrlMel,kR_xy
177,6,0,ctrlMel,kR_z
178,6,0,ctrlMel,kw_xy
179,6,0,ctrlMel,kw_z
180,6,0,ctrlMel,ki_m_xy
181,6,0,ctrlMel,ki_m_z
182,6,0,ctrlMel,kd_omega_rp
183,6,0,ctrlMel,i_range_m_xy
184,6,0,ctrlMel,i_range_m_z
185,6,0,ctrlAtt,tau_xy
186,6,0,ctrlAtt,zeta_xy
187,6,0,ctrlAtt,tau_z
188,6,0,ctrlAtt,zeta_z
189,6,0,ctrlAtt,tau_rp
190,6,0,ctrlAtt,mixing_factor
191,6,0,ctrlAtt,coll_fairness
192,6,0,posCtrlIndi,K_xi_x
193,6,0,posCtrlIndi,K_xi_y
194,6,0,posCtrlIndi,K_xi_z
195,6,0,posCtrlIndi,K_dxi_x
196,6,0,posCtrlIndi,K_dxi_y
197,6,0,posCtrlIndi,K_dxi_z
198,6,0,posCtrlIndi,pq_clamping
199,6,0,posCtlPid,xKp
200,6,0,posCtlPid,xKi
201,6,0,posCtlPid,xKd
202,6,0,posCtlPid,xKff
203,6,0,posCtlPid,yKp
204,6,0,posCtlPid,yKi
205,6,0,posCtlPid,yKd
206,6,0,posCtlPid,yKff
207,6,0,posCtlPid,zKp
208,6,0,posCtlPid,zKi
209,6,0,posCtlPid,zKd
210,6,0,posCtlPid,zKff
211,9,0,posCtlPid,thrustBase
212,9,0,posCtlPid,thrustMin
213,6,0,posCtlPid,rLimit
214,6,0,posCtlPid,pLimit
215,6,0,posCtlPid,xVelMax
216,6,0,posCtlPid,yVelMax
217,6,0,posCtlPid,zVelMax
218,6,0,velCtlPid,vxKp
219,6,0,velCtlPid,vxKi
220,6,0,velCtlPid,vxKd
221,6,0,velCtlPid,vxKFF
222,6,0,velCtlPid,vyKp
223,6,0,velCtlPid,vyKi
224,6,0,velCtlPid,vyKd
225,6,0,velCtlPid,vyKFF
226,6,0,velCtlPid,vzKp
227,6,0,velCtlPid,vzKi
228,6,0,velCtlPid,vzKd
229,6,0,velCtlPid,vzKFF
230,6,0,posEstAlt,estAlphaAsl
231,6,0,posEstAlt,estAlphaZr
232,6,0,posEstAlt,velFactor
233,6,0,posEstAlt,velZAlpha
234,6,0,posEstAlt,vAccDeadband
235,10,1,firmware,revision0
236,9,1,firmware,revision1
237,8,1,firmware,modified
